Name,Phone,Address,Latitude,Longitude,Website,Place ID,Category
Neuro Hospital Bansbari,01-4373850,"Kathmandu 44600, Nepal",27.7486124,85.3460046,http://neuro.org.np/,ChIJAbOdP1IZ6zkROg4CQuDoGk8,Hospitals
Nepal Police Hospital,01-4412430,"Krishna Dhara Marg, Kathmandu 44600, Nepal",27.7312052,85.32338709999999,https://nph.nepalpolice.gov.np/,ChIJH7w4NT0Z6zkR1Bsu0nJbKx0,Hospitals
Ishan Children & Women's Hospital Pvt. Ltd.,01-4959560,"Tokha Rd 5, Tokha, Basundhara, Kathmandu 44600, Nepal",27.7445113,85.3329892,https://ishanhospital.com.np/,ChIJaQYlvjcZ6zkRQ_M_NK6AfEQ,Hospitals
Patan Hospital,01-5522295,"Lagankhel Satdobato Rd, Lalitpur 44700, Nepal",27.668302,85.3205683,http://www.pahs.edu.np/,ChIJca-bvtEZ6zkRL3lkCFg9iUg,Hospitals
Tilganga Institute of Ophthalmology,01-5970048,"Ring Rd, Kathmandu 44600, Nepal",27.705663,85.35053990000002,https://tilganga.org/,ChIJYdkU8YEZ6zkRNA4FdTPztNQ,Hospitals
Bharosa Hospital Pvt.Ltd,01-4589891,"Devkota Sadak, Kathmandu 44600, Nepal",27.694354,85.3370236,https://bharosahospital.com.np/,ChIJa3h01ZkZ6zkRoi01Mm2lenI,Hospitals
Nepal Eye Hospital,01-5360813,"Tripureshwor, Kathmandu 44600, Nepal",27.6933205,85.31386940000002,http://www.nepaleyehospital.org/,ChIJ1VfyrLIZ6zkRAMWh1BBSlL0,Hospitals
Kathmandu National Medical College & Teaching Hospital,01-4771557,"29 Ghattekulo Marga, Kathmandu 44600, Nepal",27.7015734,85.3275176,https://kathmandunational.edu.np/,ChIJm5sQcgAZ6zkR9aTNjTMrAbA,Hospitals
Suvekchya Int´l Hospital & Research Center,01-5389534,"P75J+J9P, Kathmandu 44600, Nepal",27.7090855,85.28095429999999,http://www.sihrc.com.np/,ChIJDW4XbYYY6zkRnUNiin-I2I4,Hospitals
National Cardiac Centre (NCC),01-5907144,"Unnamed Road, Kathmandu 44600, काठमाडौँ 44600, Nepal",27.7402849,85.3318927,http://www.nationalcardiaccentre.com/,ChIJa_MT5qMZ6zkRsLKhqRC4qqQ,Hospitals
Chhatrapati Free Clinic Hospital,01-5316138,"P865+798, Gangalal Marg, Kathmandu 44600, Nepal",27.7106607,85.3084547,https://chhatrapatihospital.com/,ChIJe9nWqv4Y6zkRUxjphOzzNhg,Hospitals
International Friendship Children's Hospital,01-4516838,"Maharajgunj, Kathmandu 44600, Nepal",27.7317268,85.32573479999999,http://www.ifch.com.np/,ChIJeQp2CD0Z6zkR2cpD1RZwT3M,Hospitals
